lambda,f,median_growth_rate,analytic_growth_rate,median_final_wealth,mean_final_wealth_mc,mean_final_wealth_analytic,drawdown_median,drawdown_p95,fraction_below_start
1.1500000000000001,0.22999999999999998,0.01966259597683276,0.01966259597683266,346223811.1137598,3.052213426585115e+16,3.4016100914697028e+19,0.984532874916911,0.999383349770334,0.0042
1.2000000000000002,0.24,0.019292089489463263,0.019292089489463163,239027577.3075253,6.91751142490422e+16,2.2976435148831228e+20,0.98874561510919,0.999667529872035,0.006
1.25,0.24999999999999994,0.018813301807813546,0.018813301807813487,148085713.2711758,1.4226166157449861e+17,1.5463189207319925e+21,0.9919394057603697,0.9998313024157187,0.0098
1.3,0.25999999999999995,0.018224995464463715,0.018224995464463323,82227097.9503035,2.6505489914763526e+17,1.0369070271646476e+22,0.9944099990212241,0.999916336784227,0.0141
1.35,0.26999999999999996,0.017525842346419608,0.01752584234641985,40867363.597267725,4.4669933570642797e+17,6.928047817508462e+22,0.9962474792910567,0.9999609872023704,0.0237
1.4000000000000001,0.27999999999999997,0.016714419970101105,0.016714419970101035,18154335.671151377,6.79910336971519e+17,4.6123069056042705e+23,0.9975025570702201,0.9999844414610748,0.031
1.4500000000000002,0.29,0.015789207445438144,0.015789207445438047,7197234.7336101085,9.331791812665695e+17,3.059621465571138e+24,0.9984408749948364,0.9999938062367429,0.047
1.5,0.29999999999999993,0.014748581105001811,0.014748581105001629,2542303.4675077847,1.1530893396454323e+18,2.022391655906834e+25,0.9990527371100056,0.9999978414496237,0.0691
1.55,0.30999999999999994,0.013590809771503244,0.01359080977150337,798755.1813717582,1.2806593176074877e+18,1.3320384018255205e+26,0.9994483686238582,0.9999993134752684,0.0892
1.6,0.31999999999999995,0.012314049634173761,0.01231404963417379,222804.4219863385,1.2762633660382477e+18,8.742345360986257e+26,0.9996949741715988,0.9999998098560047,0.1207
1.6500000000000001,0.32999999999999996,0.010916338701347353,0.010916338701347367,55068.80604527485,1.1392427896047949e+18,5.717480479909823e+27,0.9998423416343165,0.9999999542980128,0.1599
1.7000000000000002,0.33999999999999997,0.009395590793025623,0.009395590793025599,12035.197890826632,9.092014554070273e+17,3.7260844395332983e+28,0.9999227175970211,0.9999999905223929,0.1932
1.75,0.3499999999999999,0.007749589033221178,0.007749589033221149,2320.618521496638,6.474872968855995e+17,2.419790042210278e+29,0.9999658531297251,0.9999999983285449,0.2474
1.8,0.35999999999999993,0.005975978797408551,0.005975978797408604,393.85341519024996,4.1062538505891136e+17,1.5659769192411174e+30,0.9999860813199997,0.9999999997244001,0.3119
1.85,0.36999999999999994,0.004072260065396681,0.0040722600653966545,58.68945482093582,2.3140480728130397e+17,1.009906956020463e+31,0.999994838137451,0.9999999999674513,0.3602
1.9000000000000001,0.37999999999999995,0.0020357791242681016,0.0020357791242680556,7.658216504009547,1.1561867412358037e+17,6.490398018342297e+31,0.9999983253897406,0.99999999999654,0.4365
1.9500000000000002,0.38999999999999996,-0.00013628044035176456,-0.00013628044035182696,0.8725978865137568,5.109444922237233e+16,4.156816475517226e+32,0.9999995154907337,0.9999999999996795,0.5121
2.0,0.3999999999999999,-0.0024469075336684804,-0.0024469075336684964,0.08656085956372021,1.9920968125900756e+16,2.653111407564208e+33,0.9999998786104521,0.9999999999999784,0.5666
2.0500000000000003,0.41,-0.004899274198902657,-0.004899274198902598,0.007451989770945728,6833987369354215.0,1.6875660141442561e+34,0.9999999745493056,0.9999999999999986,0.6421
2.1,0.41999999999999993,-0.00749674720876713,-0.007496747208767196,0.0005548863673095143,2056985865544806.0,1.0697497714459553e+35,0.9999999957180588,0.9999999999999999,0.7105
2.15,0.4299999999999999,-0.010242900698326939,-0.010242900698326923,3.5609407538128404e-05,541593540959071.3,6.758109944497686e+35,0.9999999993877653,1.0,0.7743
